name,unit,npm,npm_detail,dev,com,io,sh,app,github,score,lane_url
scaffold,Plank,DEAD-SQUAT,"v0.2.13, 2.9y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=scaffold+developer+platform+cli
score,Note,DEAD-SQUAT,"v0.0.0, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=score+developer+platform+cli
sheaf,Stalk,DEAD-SQUAT,"v0.1.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=sheaf+developer+platform+cli
shoal,Fry,DEAD-SQUAT,"v0.2.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=shoal+developer+platform+cli
silo,Grain,DEAD-SQUAT,"v0.0.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=silo+developer+platform+cli
sleet,Pellet,DEAD-SQUAT,"v0.1.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=sleet+developer+platform+cli
smelt,Ore,DEAD-SQUAT,"v0.0.2, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=smelt+developer+platform+cli
smithy,Blade,DEAD-SQUAT,"v0.6.3, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=smithy+developer+platform+cli
smolder,Ember,DEAD-SQUAT,"v0.3.1, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=smolder+developer+platform+cli
spindle,Cog,DEAD-SQUAT,"v0.0.5, 4.0y idle",taken,taken,unknown,unknown,taken,UNKNOWN,1,https://www.google.com/search?q=spindle+developer+platform+cli
